"datetime","do.flux.cole.obs","do.flux.vachon.obs","do.flux.read.obs","do.flux.cole.mod","do.flux.vachon.mod","do.flux.read.mod","co2.flux.cole.obs","co2.flux.vachon.obs","co2.flux.read.obs","co2.flux.cole.mod","co2.flux.vachon.mod","co2.flux.read.mod","co2.flux.cole.obs.do","co2.flux.vachon.obs.do","co2.flux.read.obs.do","ch4.flux.cole.obs","ch4.flux.vachon.obs","ch4.flux.read.obs","ch4.flux.cole.mod","ch4.flux.vachon.mod","ch4.flux.read.mod","mod.co2.flux.mmolC","mod.ch4.flux.mmolC","obs.co2.flux.mmolC","obs.ch4.flux.mmolC","obs.co2.flux.mmolC.do","obs.ch4.flux.mmolC.do","mod.netGHG","obs.netGHG","obs.netGHG.do"
"2016-04-16 11:30:00",-9.96070824118127,-25.0543396120814,NA,15.4682252843505,38.907491323563,NA,-2.02682884574578,-5.09811722292303,NA,-21.268809765982,-53.4978005698991,NA,13.6959738316243,34.4497169666119,NA,0.1721710265047,0.43306472441139,NA,0.0598097610897502,0.150440513884818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-17 11:30:00",-10.1973687923143,-25.9889647348823,NA,14.5998773451563,37.2091767184935,NA,-2.59050452230374,-6.6021472839589,NA,-20.0748313495899,-51.1626179879285,NA,14.0213820894322,35.7348265104631,NA,0.142183285496125,0.362367633053887,NA,0.0564495063621197,0.143866938621692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-18 11:30:00",-11.9701561028042,-30.4580195892415,-13.1151894974452,20.4731758006323,52.093922939197,22.431585514319,-3.42168557608951,-8.706466766991,-3.74899494590348,-28.1506167258694,-71.6291440413959,-30.8434300821887,16.4589646413558,41.8797769352071,18.0333855589871,0.161279494212854,0.410375098861684,0.176707063006319,0.0490635504322258,0.124842029406148,0.0537568395775016,-30.8434300821887,0.0537568395775016,-3.74899494590348,0.176707063006319,18.0333855589871,0.176707063006319,-29.0156975365536,2.25904519631137,24.0414257012019
"2016-04-19 11:30:00",-19.9320540485631,-46.6739038537938,-25.1682631700188,30.3264681382843,71.0139885564611,38.2933203603546,-6.15491853643616,-14.4126679216116,-7.77183370753599,-41.698893690141,-97.644234265134,-52.6533154954876,27.4065743167743,64.1766177989665,34.6063618587758,0.296880952271948,0.695191423252366,0.374872450111826,0.0756217253007094,0.177079649058937,0.0954877745716492,-52.6533154954876,0.0954877745716492,-7.77183370753599,0.374872450111826,34.6063618587758,0.374872450111826,-49.4067311600515,4.97382959626609,47.3520251625779
"2016-04-20 11:30:00",-23.1233595204799,-51.9975081780219,NA,23.2453431689301,52.2718128590634,NA,-7.56296248854056,-17.0068368958093,NA,-31.9623468572788,-71.8737426812122,NA,31.7946193406598,71.4965737447801,NA,0.413876947245041,0.93068526353225,NA,0.113757637825208,0.255806847525326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-21 11:30:00",-12.5078807565043,-31.8472788435888,-14.7195906844779,12.3742312780645,31.5069836097252,14.5623085951995,-4.28538335350969,-10.9113447168039,-5.04314760571536,-17.0145680073386,-43.3221024633721,-20.0231743183993,17.1983360401934,43.7900084099346,20.239437191157,0.281691107729964,0.717235431827289,0.331501225983951,0.0581469218827189,0.14805235764119,0.0684287695364262,-20.0231743183993,0.0684287695364262,-5.04314760571536,0.331501225983951,20.239437191157,0.331501225983951,-17.6965961541608,6.22789407773897,31.5104788746113
"2016-04-22 11:30:00",-16.2822805756018,-39.8557769637207,-22.3506507457706,26.6574216555271,65.2520540348985,36.5925840940378,-5.81633275466008,-14.2372230929295,-7.98406718376972,-36.6539547763497,-89.7215742979855,-50.314803129302,22.3881357914524,54.801693325116,30.7321447754345,0.473823313931282,1.159825015456,0.650416221223377,0.0468808269221457,0.114754918575943,0.0643532080376936,-50.314803129302,0.0643532080376936,-7.98406718376972,0.650416221223377,30.7321447754345,0.650416221223377,-48.1267940560204,14.1300843378251,52.8462962970293
"2016-04-23 11:30:00",-12.6129368215314,-31.7631749705139,-19.094716950119,15.6144291520594,39.3218369551252,23.6386742608023,-4.71445616573991,-11.8724210072617,-7.13721216020622,-21.4698400840816,-54.0675258132972,-32.5031771086031,17.3427881296057,43.6743655844566,26.2552358064136,0.484553255567885,1.22025108481168,0.733564862271628,0.052136561988724,0.131295570907951,0.0789295076962214,-32.5031771086031,0.0789295076962214,-7.13721216020622,0.733564862271628,26.2552358064136,0.733564862271628,-29.8195738469316,17.8039931570291,51.196441123649
"2016-04-24 11:30:00",-16.5974064622995,-38.4648711218029,-23.0919085307894,23.7016537898212,54.9291276603919,32.976020837123,-6.53466788331676,-15.1442430795744,-9.09165859035854,-32.5897739610042,-75.5275505330388,-45.3420286510442,22.8214338856619,52.889197792479,31.7513742298355,0.860430558921617,1.99406760528268,1.19711376646982,0.0648762252266807,0.150352143744969,0.0902620455888892,-45.3420286510442,0.0902620455888892,-9.09165859035854,1.19711376646982,31.7513742298355,1.19711376646982,-42.273119101022,31.6102094696153,72.4532422898094
"2016-04-25 11:30:00",-18.6553103415252,-39.6105586546003,-20.1216469551135,26.1569377011288,55.5386587554661,28.2129139753555,-7.87268099289062,-16.7159530733572,-8.49148605030527,-35.9657893390521,-76.3656557887659,-38.7927567161138,25.6510517195972,54.4645181500755,27.667264563281,1.34663482163335,2.85929081918849,1.45248242791512,0.121266326979345,0.25748309032154,0.130798050225427,-38.7927567161138,0.130798050225427,-8.49148605030527,1.45248242791512,27.667264563281,1.45248242791512,-34.3456230084493,40.8929164988088,77.0516671123951
